,age,attrition,businesstravel,dailyrate,department,distancefromhome,education,educationfield,employeecount,employeenumber,environmentsatisfaction,gender,hourlyrate,jobinvolvement,joblevel,jobrole,jobsatisfaction,maritalstatus,monthlyincome,monthlyrate,numcompaniesworked,over18,overtime,percentsalaryhike,performancerating,relationshipsatisfaction,standardhours,stockoptionlevel,totalworkingyears,trainingtimeslastyear,worklifebalance,yearsatcompany,yearsincurrentrole,yearssincelastpromotion,yearswithcurrmanager,sameasmonthlyincome,datebirth,salary,roledepartament,numberchildren,remotework
0,52,No,,2015.72,no data,6,3,no data,1,1,1,M,,3,5, research director ,3,,16280.83,42330.17,7,Y,No,13,3.0,3,Full Time,0,,5,3.0,20,,15,15,16280.83,1972,195370.0,no data,,Yes
1,53,No,,2063.39,no data,1,4,life sciences,1,2,3,M,,2,5, manager ,3,,,43331.17,0,,,14,3.0,1,,1,34.0,5,3.0,33,,11,9,,1971,199990.0,no data,,Yes
2,43,No,travel_rarely,1984.25, research & development ,4,2,technical degree,1,3,3,M,,3,5, manager ,4,Married,,41669.33,1,,No,11,3.0,4,,0,22.0,3,,22,,11,15,,1981,192320.0, manager  -  research & development ,,Yes
3,48,No,travel_rarely,1771.4,no data,2,4,medical,1,4,1,F,,3,4, research director ,3,Married,14307.5,37199.5,3,Y,,19,3.0,2,Full Time,2,,2,,20,,5,6,14307.5,1976,171690.0,no data,,No
4,47,No,,1582.77,no data,3,3,technical degree,1,5,1,F,,4,4, sales executive ,1,Divorced,12783.92,33238.2,2,Y,No,12,3.0,4,,1,,5,3.0,19,,2,8,12783.92,1977,,no data,,No
5,49,No,,1771.92, research & development ,22,3,medical,1,6,4,F,,3,4, manager ,4,,14311.67,37210.33,3,,No,11,3.0,2,,1,,3,3.0,22,,4,7,14311.67,1975,, manager  -  research & development ,,Yes
6,60,No,,1032.49,no data,25,3,life sciences,1,7,1,F,,3,3, sales executive ,1,,8339.32,21682.23,7,Y,,11,3.0,4,Part Time,0,28.0,3,2.0,21,,7,9,8339.32,1964,100071.84,no data,,Yes
7,43,No,travel_rarely,556.26,no data,1,1,no data,1,8,2,M,69.53,3,2, sales executive ,3,Married,,11681.39,1,,No,25,4.0,3,Part Time,0,20.0,3,3.0,20,,11,6,,1981,53914.11,no data,,No
8,42,No,,1712.18,no data,2,5,no data,1,9,2,F,,3,4, manager ,1,Married,13829.17,35955.83,7,,No,16,3.0,2,Full Time,1,22.0,2,3.0,18,,11,8,13829.17,1982,165950.0,no data,,Yes
9,42,No,travel_frequently,1973.98,no data,9,3,no data,1,10,1,M,,3,5, research director ,3,,15943.72,41453.67,2,,No,17,3.0,2,,1,21.0,2,4.0,18,,0,11,15943.72,1982,,no data,,No
10,42,No,non-travel,2060.71,no data,7,1,no data,1,11,2,F,,1,5, research director ,3,,16644.17,43274.83,1,Y,No,22,4.0,2,Full Time,2,,3,3.0,21,,5,10,16644.17,1982,199730.0,no data,,No
11,57,No,travel_rarely,1382.75,no data,23,3,life sciences,1,12,4,M,172.84,3,4, manufacturing director ,2,Married,,29037.67,4,,Yes,12,,1,Full Time,1,33.0,0,3.0,19,,15,9,,1967,134020.0,no data,,No
12,39,No,,1362.52,no data,10,3,medical,1,13,2,F,,1,3, research director ,3,Married,,28613.0,3,Y,No,12,3.0,1,Full Time,1,,3,3.0,18,,1,11,,1985,132060.0,no data,,Yes
13,42,Yes,travel_rarely,2016.55,no data,12,3,no data,1,14,2,F,,3,5, research director ,3,Married,,42347.5,1,,No,12,3.0,4,Full Time,0,,0,3.0,22,,15,8,,1982,195450.0,no data,,No
14,56,No,,1973.98,no data,14,4,medical,1,15,3,M,,4,5, research director ,2,Single,15943.72,41453.67,8,,No,11,3.0,4,,0,,3,3.0,24,,2,15,15943.72,1968,,no data,,Yes
15,41,No,travel_rarely,1861.37,no data,2,4,no data,1,16,3,F,,3,5, manager ,3,,15034.17,39088.83,0,,No,14,3.0,4,Full Time,0,,2,3.0,20,,1,12,15034.17,1983,180410.0,no data,,No
16,59,Yes,travel_rarely,1985.7,no data,2,4,no data,1,17,4,M,,3,5, research director ,2,Single,16038.33,41699.67,7,Y,Yes,12,3.0,4,Full Time,0,40.0,2,3.0,31,,13,8,16038.33,1965,192460.0,no data,,No
17,47,No,travel_rarely,1582.77,no data,2,3,no data,1,18,3,F,,3,4, manager ,1,,12783.92,33238.2,8,,,23,4.0,1,,0,28.0,2,3.0,26,,15,9,12783.92,1977,,no data,,No
18,36,No,,556.26,no data,-13,5,life sciences,1,19,2,M,,4,2, research scientist ,1,Married,4492.84,11681.39,1,,,11,3.0,4,,0,,2,3.0,16,,1,10,4492.84,1988,,no data,,No
19,41,No,travel_rarely,1032.49,no data,15,3,life sciences,1,20,1,F,,2,3, manufacturing director ,3,,8339.32,21682.23,1,Y,,13,3.0,4,,2,18.0,2,,18,,14,12,8339.32,1983,,no data,,Yes
20,46,No,non-travel,1108.92, research & development ,1,1,no data,1,21,3,M,,2,3, healthcare representative ,3,,8956.67,23287.33,3,Y,,23,4.0,4,Full Time,1,25.0,3,2.0,23,,14,4,8956.67,1978,107480.0, healthcare representative  -  research & development ,,No
21,34,No,,1032.49,no data,1,2,life sciences,1,22,1,F,,3,3, research director ,4,Single,,21682.23,1,,Yes,12,3.0,3,Part Time,0,15.0,1,3.0,15,,8,12,,1990,100071.84,no data,,Yes
22,37,No,,1032.49,no data,8,3,no data,1,23,3,F,,3,3, healthcare representative ,3,Divorced,,21682.23,1,Y,,13,,2,,3,17.0,2,3.0,17,,12,8,,1987,100071.84,no data,,Yes
23,48,No,,1728.38,no data,2,2,other,1,24,3,F,216.05,3,4, manager ,4,Married,,36296.0,1,,,11,3.0,3,Full Time,1,,3,2.0,26,,3,0,,1976,167520.0,no data,,No
24,37,No,travel_rarely,639.79,no data,-42,2,life sciences,1,25,4,M,79.97,3,2, sales executive ,4,,5167.5,13435.5,1,Y,,14,3.0,4,Full Time,1,18.0,1,,18,,4,11,5167.5,1987,62010.0,no data,,Yes
25,36,No,,1032.49,no data,9,3,life sciences,1,26,4,F,129.06,2,3, manufacturing director ,3,Married,,21682.23,1,Y,Yes,20,4.0,2,Part Time,1,17.0,2,3.0,17,,5,15,,1988,100071.84,no data,,No
26,53,Yes,,2047.5,no data,2,1,no data,1,27,1,F,,1,5, manager ,4,Married,,42997.5,1,Y,No,15,3.0,4,Full Time,1,33.0,3,3.0,32,,6,9,,1971,198450.0,no data,,Yes
27,37,No,,556.26,no data,2,4,life sciences,1,28,3,F,,3,2, manufacturing director ,2,Single,4492.84,11681.39,9,Y,Yes,11,3.0,4,,0,18.0,2,3.0,16,,5,12,4492.84,1987,53914.11,no data,,No
28,34,No,travel_rarely,556.26,no data,28,4,life sciences,1,29,2,M,69.53,3,2, laboratory technician ,3,Married,4492.84,11681.39,1,Y,,12,3.0,2,Part Time,1,15.0,3,3.0,15,,5,7,4492.84,1990,53914.11,no data,,Yes
29,35,No,non-travel,412.8, sales ,10,3,life sciences,1,30,4,M,,3,2, sales executive ,3,,3334.17,8668.83,1,Y,Yes,14,3.0,3,Part Time,1,15.0,3,3.0,15,,0,7,3334.17,1989,40010.0, sales executive  -  sales ,,Yes
30,42,No,,1077.87, sales ,-37,1,no data,1,31,3,F,,3,3, sales executive ,3,Divorced,8705.83,22635.17,0,,,13,3.0,4,Full Time,1,,3,4.0,22,,13,5,8705.83,1982,104470.0, sales executive  -  sales ,,Yes
31,48,No,,1032.49, research & development ,25,3,medical,1,32,1,M,,3,3, healthcare representative ,3,,8339.32,21682.23,2,,,23,4.0,2,,0,25.0,3,3.0,17,,12,11,8339.32,1976,, healthcare representative  -  research & development ,,Yes
32,54,No,travel_rarely,1973.98,no data,5,3,no data,1,33,3,F,246.75,3,5, manager ,3,,15943.72,41453.67,4,,,11,3.0,4,Full Time,1,26.0,3,2.0,14,,4,8,15943.72,1970,191324.62,no data,,Yes
33,36,No,,556.26,no data,1,4,marketing,1,34,3,M,69.53,2,2, sales executive ,1,Single,4492.84,11681.39,0,Y,No,14,,2,Part Time,0,16.0,2,3.0,15,,2,8,4492.84,1988,53914.11,no data,,No
